pos_x,pos_y,pos_z,ori_x,ori_y,ori_z,vel_x,vel_y,vel_z,omg_x,omg_y,omg_z,delta_pos_x,delta_pos_y,delta_pos_z,delta_ori_x,delta_ori_y,delta_ori_z,f_x_out,f_y_out,f_z_out,torque_x_out,torque_y_out,torque_z_out
1.5284394,-1.5266165,1.6266693,2.2124674,-1.4153713,2.0682414,-0.94762146,-0.51512784,2.0894938,-2.3028638,1.7412785,2.1227322,1.3947343,0.5715659,-2.0894938,2.320196,2.0312939,2.0864305,1.7501559,1.8058934,-1.7400247,1.8085803,1.8085102,1.8062737
1.524725,-1.5262083,1.6717814,2.1945188,-1.4448031,2.0563612,-0.9769606,-0.6784754,2.086716,-2.3155677,1.8007399,2.1036298,1.4336641,0.7306539,-2.086716,2.3575897,2.0937598,2.0665658,1.7808986,1.8461117,-1.7834442,1.8489542,1.8488673,1.8464777
1.5210092,-1.5266638,1.7168291,2.176359,-1.4752483,2.044554,-1.029223,-0.828484,1.9186628,-2.3238275,1.8831453,2.0832114,1.4099329,0.8835523,-1.9186628,2.40006,2.092565,2.050761,1.8075156,1.8809615,-1.8238633,1.8837373,1.883744,1.8811553
1.5172943,-1.5279493,1.7579772,2.1579595,-1.5056742,2.0328052,-1.0293964,-0.9714941,1.9003375,-2.335311,1.9014657,2.0663795,1.4246557,1.0223926,-1.9003375,2.4329073,2.1217675,2.0329678,1.8325567,1.9139781,-1.8622739,1.9168934,1.9168786,1.914168
1.5135788,-1.5299888,1.7987001,2.1393743,-1.5365739,2.021122,-1.0636535,-1.1013801,1.6797569,-2.3412526,1.954599,2.0474198,1.3655651,1.1525689,-1.6797569,2.4712698,2.076428,2.0199738,1.8523321,1.9402542,-1.897182,1.9430469,1.9431409,1.9402547
1.5098654,-1.5327351,1.8343047,2.1205726,-1.5667379,2.0094864,-1.0355582,-1.220504,1.6465023,-2.3507013,1.9312869,2.032862,1.3562994,1.2670964,-1.6465023,2.4979877,2.0714717,2.004315,1.8733824,1.9675274,-1.9263352,1.9704366,1.9705057,1.9675344
1.5061523,-1.5361031,1.8691375,2.10162,-1.5968215,1.9979088,-1.0513239,-1.3259883,1.3812102,-2.3535478,1.9534281,2.0154884,1.2645843,1.3715254,-1.3812102,2.530692,1.9837409,1.9939941,1.8867685,1.9854984,-1.953037,1.9882319,1.9884216,1.9853055
1.5024424,-1.5400381,1.8978145,2.0824828,-1.6254818,1.9863691,-0.99660426,-1.4184468,1.3341731,-2.3602278,1.889458,2.0031312,1.2322971,1.4586759,-1.3341731,2.549981,1.944929,1.9804549,1.9006094,2.0036201,-1.9740834,2.0064414,2.0066042,2.0034437
1.4987336,-1.5444463,1.9254,2.0632367,-1.6535126,1.9748794,-0.99407053,-1.4962682,1.0335726,-2.3593452,1.8799688,1.987415,1.1118953,1.5345131,-1.0335726,2.5754738,1.818049,1.9726118,1.9057207,2.01128,-1.9927458,2.0138764,2.0141678,2.0109
1.495029,-1.5492663,1.9460104,2.0438466,-1.6794847,1.9634186,-0.9153986,-1.5594635,0.9743964,-2.3625195,1.7777443,1.9771459,1.0583833,1.5916841,-0.9743964,2.5861542,1.7468739,1.9611294,1.9104899,2.0182753,-2.0060167,2.0209253,2.0211897,2.017921
1.4913263,-1.5543967,1.9652476,2.0243962,-1.7043022,1.9520001,-0.89535743,-1.6071092,0.6491537,-2.3573813,1.7370951,1.9631146,0.91417396,1.6366311,-0.6491537,2.6030083,1.5854665,1.9555051,1.910903,2.019162,-2.0119143,2.0215447,2.0219412,2.0186074
1.4876287,-1.5597711,1.9769379,2.0048504,-1.7265011,1.9406023,-0.7961403,-1.6390765,0.5799164,-2.3563867,1.6003703,1.9547693,0.841853,1.6620086,-0.5799164,2.6041327,1.4845597,1.9459608,1.9060615,2.0144558,-2.0170126,2.016855,2.0172253,2.0139353
1.4839336,-1.5652833,1.9870214,1.9852985,-1.7470629,1.9292397,-0.7598306,-1.6550257,0.2415707,-2.346614,1.5301247,1.9423994,0.67946225,1.674648,-0.2415707,2.6111715,1.2944584,1.9422331,1.8986845,2.0055077,-2.0127175,2.007606,2.0081072,2.0047977
1.480244,-1.5708641,1.9892541,1.9657068,-1.7645404,1.9178909,-0.6441673,-1.6549114,0.16471162,-2.3409438,1.3638669,1.9357513,0.5913705,1.6675162,-0.16471162,2.6021316,1.1674947,1.9344466,1.8856177,1.9905325,-2.0079536,1.992609,1.9930851,1.9898638
1.4765576,-1.5764062,1.9897033,1.9461662,-1.7799582,1.9065707,-0.5933415,-1.638615,-0.1747299,-2.3263066,1.2666199,1.9249731,0.41694745,1.6475239,0.1747299,2.5985236,0.9555377,1.932234,1.8695561,1.9709733,-1.9944699,1.9727255,1.9733262,1.9701327
1.4728774,-1.5818397,1.982276,1.926646,-1.7919374,1.8952587,-0.46573666,-1.6063263,-0.25656703,-2.31557,1.0768517,1.9197568,0.3166128,1.6080925,0.25656703,2.5790055,0.80711514,1.9259801,1.8495731,1.9471675,-1.9788613,1.9488606,1.9494375,1.9463739
1.4692005,-1.5870591,1.9729497,1.9072359,-1.8015085,1.8839698,-0.4027506,-1.5583798,-0.58518976,-2.2960124,0.95622236,1.9104494,0.1368288,1.5560777,0.58518976,2.5642245,0.58095,1.924864,1.8263496,1.9187044,-1.9554087,1.9200623,1.9207518,1.9177631
1.46553,-1.5919962,1.9559981,1.8879093,-1.8074104,1.872685,-0.26831254,-1.4952203,-0.6692145,-2.2800374,0.74987596,1.9063405,0.028284755,1.4858835,0.6692145,2.5343482,0.41646335,1.919858,1.8009902,1.8877977,-1.9283775,1.889062,1.889729,1.8869078
1.4618633,-1.5965521,1.9370967,1.8687514,-1.8106437,1.8614185,-0.19591247,-1.4174947,-0.97535926,-2.25571,0.6102916,1.8983278,-0.15002964,1.4038543,0.97535926,2.508364,0.18423967,1.9193718,1.7690768,1.8491396,-1.8978428,1.8500711,1.8508334,1.8481317
1.4582027,-1.6006627,1.9110914,1.8497403,-1.8101095,1.8501539,-0.059901237,-1.3257672,-1.0586154,-2.2345078,0.39483437,1.8949724,-0.2625855,1.305328,1.0586154,2.4685686,0.009627835,1.9152972,1.7364755,1.8095186,-1.8628107,1.8103266,1.8110673,1.8085645
1.4545461,-1.6042384,1.8831544,1.8309538,-1.8067424,1.8389044,0.019042395,-1.2209678,-1.3314517,-2.2057054,0.24136102,1.8880469,-0.4328429,1.1960502,1.3314517,2.4316623,-0.22033192,1.9149718,1.6991208,1.7641859,-1.8238804,1.7646769,1.7654912,1.7631477
1.4508954,-1.6072206,1.8488864,1.8123758,-1.7996446,1.8276559,0.15149406,-1.1038784,-1.4110221,-2.179464,0.024547547,1.8850757,-0.545124,1.0727675,1.4110221,2.3827918,-0.39880413,1.9114809,1.6618942,1.7187507,-1.7803464,1.7190945,1.7198876,1.7177671
1.4472487,-1.6095337,1.8127719,1.7940737,-1.7896512,1.8164204,0.23381846,-0.9758115,-1.6408699,-2.1466696,-0.13729142,1.8789929,-0.70100135,0.93977726,1.6408699,2.335581,-0.6182762,1.9108562,1.617992,1.6659226,-1.7365801,1.6659784,1.6668196,1.664892
1.4436074,-1.6111245,1.771324,1.7760382,-1.7760972,1.8051872,0.3577285,-0.8373221,-1.7139391,-2.115741,-0.3476826,1.8760345,-0.8087793,0.7957864,1.7139391,2.2786803,-0.7942229,1.9076029,1.5745659,1.6133972,-1.6887239,1.6132888,1.614109,1.6124196
1.4399699,-1.6119337,1.7281808,1.758324,-1.7596887,1.793966,0.44024646,-0.6903831,-1.8926162,-2.079549,-0.51209646,1.870536,-0.9444866,0.6431083,1.8926162,2.2220483,-0.99537826,1.9062498,1.5320015,1.5612214,-1.6351465,1.560865,1.5617061,1.5602351
1.4363371,-1.6119138,1.6808914,1.7409296,-1.7400167,1.7827498,0.5509097,-0.5350265,-1.9565552,-2.0444317,-0.7085516,1.8672333,-1.0436674,0.48284826,1.9565552,2.1583495,-1.1625239,1.9028993,1.4862691,1.5057601,-1.582118,1.5052294,1.5060503,1.504823
1.4327078,-1.6110239,1.6321183,1.723895,-1.717633,1.7715459,0.6304223,-0.37409085,-2.07766,-2.0055363,-0.8696951,1.8620533,-1.1541455,0.3143005,2.07766,2.0932455,-1.3382099,1.9004577,1.4399409,1.4494034,-1.5270559,1.4486746,1.4494882,1.448496
1.4290823,-1.6092188,1.5805352,1.707228,-1.692399,1.760351,0.7236558,-0.20645712,-2.1301239,-1.9668026,-1.0452373,1.8580908,-1.2410475,0.14134851,2.1301239,2.0237904,-1.4906173,1.8967439,1.3951155,1.394385,-1.4690651,1.3934768,1.3942736,1.3935198
1.4254599,-1.6064748,1.5277345,1.690953,-1.6646925,1.7491698,0.79726994,-0.03607321,-2.1892586,-1.9258779,-1.1974225,1.8529935,-1.322313,-0.03827742,2.1892586,1.951584,-1.6346093,1.8928812,1.3468295,1.3364004,-1.413657,1.3353567,1.3361135,1.335604
1.4218402,-1.6027554,1.4735619,1.6750859,-1.6346499,1.7380029,0.86972654,0.13843913,-2.2282655,-1.8842865,-1.3458527,1.8480682,-1.3937366,-0.22215049,2.2282655,1.8769368,-1.7668782,1.88865,1.2994766,1.2790085,-1.3572675,1.2777907,1.2785312,1.278247
1.418223,-1.5980377,1.418484,1.6596403,-1.6024613,1.7268515,0.9346868,0.3148258,-2.2232,-1.8418688,-1.4837353,1.842884,-1.4427513,-0.3943512,2.2232,1.8032488,-1.8740973,1.8825366,1.254717,1.2255412,-1.2991298,1.2242596,1.224925,1.2248868
1.4146076,-1.592385,1.3635236,1.6446108,-1.5685332,1.7157227,0.9836274,0.48204166,-2.2472394,-1.7995324,-1.5998389,1.8363621,-1.4959967,-0.57287383,2.2472394,1.7284821,-1.9815644,1.8770556,1.2083422,1.1700573,-1.2438369,1.1686181,1.1692635,1.1694312
1.410994,-1.5857632,1.3080056,1.6300035,-1.5328617,1.704614,1.0374857,0.65311843,-2.1780212,-1.7573591,-1.7185993,1.8305863,-1.510875,-0.7221673,2.1780212,1.6582602,-2.0482454,1.8680433,1.1650932,1.1185831,-1.1891955,1.1171453,1.117692,1.118095
1.407381,-1.5783308,1.2540935,1.6157928,-1.4961083,1.6935385,1.0610144,0.8019574,-2.1861153,-1.7160319,-1.798304,1.8220065,-1.5439756,-0.8772877,2.1861153,1.5890778,-2.1271336,1.8605429,1.1228536,1.0680283,-1.1356525,1.0664498,1.0669786,1.067559
